,Unnamed: 0,States,,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Literacy

3,,Andaman and Nicobar Islands,78.7,82.6,80.6,74.9,78.1,76.5,77.3,80.8,79
4,,Andhra Pradesh,103.4,99.3,101.4,92.5,90.1,91.3,99.2,95.7,97.5
5,,Arunachal Pradesh,117.5,119.6,118.5,83.2,88.9,86.1,103.5,106.9,105.2
6,,Assam,113.6,117.8,115.7,89.9,99,94.4,104.5,110.4,107.4
7,,Bihar,91.9,95.2,93.5,75.9,82.7,79.2,85.9,90.5,88.1
8,,Chandigarh,83,91.9,86.9,95.1,104.8,99.3,87.6,96.7,91.6
9,,Chhattisgarh,97.2,97,97.1,92.2,92.9,92.6,95.4,95.5,95.5
10,,Dadra and Nagar Haveli,98.8,103.1,100.8,78.1,78.8,78.4,91.2,94.1,92.5
11,,Daman and Diu,90.3,93.3,91.7,84.7,88.8,86.6,88.3,91.7,89.8
12,,Delhi,118.4,122.8,120.4,120.5,125.2,122.7,119.2,123.7,121.3
13,,Goa,97.3,101.3,99.2,90.9,92.9,91.8,94.8,98.1,96.4
14,,Gujarat,94.7,98.3,96.4,89.4,89.7,89.5,92.7,95,93.8
15,,Haryana,105.4,104.9,105.2,99.1,98.2,98.7,103.1,102.4,102.8
16,,Himachal Pradesh,108,109.4,108.5,97.8,99.3,98.6,103.9,105.5,104.6
17,,Jammu and Kashmir,91.7,94.8,93.2,64.9,68.5,66.5,80.3,83.7,81.9
18,,Jharkhand,102.6,102.6,102.6,80.9,85.4,83.2,94.3,95.9,95.1
19,,Karnataka,107.9,106.9,107.4,101.2,100.9,101.1,105.4,104.6,105
20,,Kerala,100.5,100.1,100.2,97.5,97.1,97.2,99.3,99,99.1
21,,Ladakh,79.9,86.4,83,62.8,73.8,68,73.2,81.5,77.1
22,,Lakshadweep,79.7,77.9,78.8,62.1,56.8,59.3,73.1,69.1,71.1
23,,Madhya Pradesh,93.2,92.7,92.9,92.5,90.2,91.3,92.9,91.8,92.4
24,,Maharashtra,105.9,106.8,106.3,99.5,98.5,99,103.4,103.6,103.5
25,,Manipur,134.6,138,136.2,86.6,89.8,88.1,114.5,117.7,116.1
26,,Meghalaya,163.9,168.2,166,102.5,117.9,110.1,139.3,147.8,143.5
27,,Mizoram,139.6,138.1,138.9,102.8,103.1,103,124.7,124,124.4
28,,Nagaland,92.7,96.2,94.3,67.3,73.9,70.4,82.1,86.9,84.4
29,,Odisha,97.2,96.4,96.8,90.7,88.5,89.6,94.7,93.3,94
30,,Puducherry,84.4,86.3,85.3,83.4,83.9,83.6,84,85.4,84.7
31,,Punjab,111.3,111.1,111.2,105.3,107.4,106.3,109,109.7,109.3
32,,Rajasthan,105.4,106.9,106.1,91.6,85.9,88.9,100.3,99,99.7
33,,Sikkim,103.3,95.5,99.5,85.1,86.9,86,95.3,91.7,93.6
34,,Tamil Nadu,98.6,99.3,98.9,96.7,96.3,96.5,97.9,98.2,98
35,,Telangana,111.8,112.1,111.9,97.4,97.5,97.4,106.2,106.4,106.3
36,,Tripura,115.3,118.7,117,92.3,95.6,93.9,105.7,109,107.3
37,,Uttar Pradesh,100.5,105.6,102.9,80.3,83.3,81.7,93.1,97.3,95.1
38,,Uttarakhand,113.7,116.7,115.2,97.3,99.2,98.2,107.3,109.7,108.5
39,,West Bengal,112.8,113.9,113.3,86,91.4,88.6,102.3,105,103.6
40,,ALL INDIA,101.9,103.7,102.7,88.9,90.5,89.7,97,98.7,97.8
