,State,StateWise Population (Crore)
0,Andaman and Nicobar Islands,0.0381
1,Andhra Pradesh,4.9
2,Arunachal Pradesh,0.1384
3,Assam,3.1206
4,Bihar,10.4099
5,Chandigarh,0.1055
6,Chhattisgarh,2.5545
7,Delhi,1.6788
8,Goa,0.1459
9,Gujarat,6.044
10,Haryana,2.5351
11,Himachal Pradesh,0.6865
12,Jammu and Kashmir,1.2541
13,Jharkhand,3.2988
14,Karnataka,6.1095
15,Kerala,3.3406
16,Lakshadweep,0.0064
17,Madhya Pradesh,7.2627
18,Maharashtra,11.2374
19,Manipur,0.2856
20,Meghalaya,0.2967
21,Mizoram,0.1097
22,Nagaland,0.1979
23,Odisha,4.1974
24,Puducherry,0.1248
25,Punjab,2.7743
26,Rajasthan,6.8548
27,Sikkim,0.0611
28,Tamil Nadu,7.2147
29,Tripura,0.3674
30,Uttar Pradesh,19.9812
31,Uttarakhand,1.0086
32,West Bengal,9.1276
33,Telangana,3.5003
34,Ladakh,0.0274
